OI,CHNG_IN_OI,VOLUME,IV,LTP,CHNG,BID_QTY,BID,ASK,ASK_QTY,STRIKE,TYPE,MID_PRICE,PRICE,SPOT,MONEYNESS,T,BS_PRICE,PRICE_DIFF,%_DIFF
261.0,4.0,66.0,8.37,811.1,-33.05,75.0,803.45,811.1,150.0,23900.0,CALL,807.2750000000001,811.1,24631.3,0.97031013385408,0.03285420944558522,792.1933731432255,-18.90662685677455,-2.3309859273547713
36.0,-1.0,10.0,10.48,772.0,69.35,75.0,756.8,766.3,75.0,23950.0,CALL,761.55,772.0,24631.3,0.9723400713726031,0.03285420944558522,750.7922404198725,-21.20775958012746,-2.747119116596821
10446.0,-73.0,2488.0,7.66,712.0,-35.4,150.0,711.65,715.0,525.0,24000.0,CALL,713.325,712.0,24631.3,0.9743700088911263,0.03285420944558522,692.882969150498,-19.117030849502044,-2.6849762429075903
101.0,-13.0,20.0,9.62,674.0,-29.55,75.0,665.85,675.0,150.0,24050.0,CALL,670.425,674.0,24631.3,0.9763999464096496,0.03285420944558522,652.601965407157,-21.398034592843032,-3.174782580540509
939.0,25.0,192.0,9.3,625.95,-33.5,150.0,622.05,628.95,75.0,24100.0,CALL,625.5,625.95,24631.3,0.9784298839281728,0.03285420944558522,604.3818286254645,-21.568171374535495,-3.4456700015233634
224.0,11.0,23.0,9.76,585.0,-27.6,150.0,577.9,589.4,150.0,24150.0,CALL,583.65,585.0,24631.3,0.9804598214466959,0.03285420944558522,562.3170177975953,-22.682982202404673,-3.87743285511191
5035.0,-590.0,2120.0,9.35,537.35,-32.75,150.0,537.0,542.95,75.0,24200.0,CALL,539.975,537.35,24631.3,0.9824897589652191,0.03285420944558522,514.6300015071356,-22.71999849286442,-4.228156414416008
330.0,-58.0,154.0,9.75,499.2,-29.0,75.0,484.9,509.6,75.0,24250.0,CALL,497.25,499.2,24631.3,0.9845196964837423,0.03285420944558522,475.42436209056905,-23.77563790943094,-4.7627479786520315
2560.0,1.0,2105.0,9.85,459.55,-27.6,75.0,456.1,460.15,150.0,24300.0,CALL,458.125,459.55,24631.3,0.9865496340022655,0.03285420944558522,435.19885332976264,-24.35114667023737,-5.298911254539738
387.0,-4.0,231.0,9.59,416.5,-32.5,150.0,414.2,422.7,75.0,24350.0,CALL,418.45,416.5,24631.3,0.9885795715207886,0.03285420944558522,392.106264423368,-24.393735576632025,-5.856839274101326
